T,s,MISE
1200,12,0.003012543959998946
1200,13,0.0008845709025935874
1200,14,0.0005049745700855531
1200,15,0.0013984076363197755
1200,16,0.0007948787811348089
1200,17,0.0009792280991508626
1200,18,0.0006413047955520621
1200,19,0.0003103926685480126
1200,20,0.0016088855783709792
1200,21,0.0013327244761942572
1200,22,0.001990211861120237
1200,23,0.0006397852675191826
1200,24,0.003161860501003613
1200,25,0.0002930335393991212
1200,26,0.0015798402551313513
1200,27,0.0013144092695298697
1200,28,0.0010361448123133905
1200,29,0.00046989034667455467
1200,30,0.0002865072911647128
1200,31,0.0024904542815230874
1200,32,0.0015907515204521938
1200,33,0.003234660009666302
1200,34,0.0009287060628670451
1200,35,0.0022159946199813837
1200,36,0.001116656578879632
1200,37,0.001886918185325082
1200,38,0.001950035195015511
1200,39,0.0004686163633864289
1200,40,0.0012171151963825263
1200,41,0.0004407717711061436
1200,42,0.00038227956052366916
1200,43,0.0005427991472642353
1200,44,0.002269829152370173
1200,45,0.0008908047024958495
1200,46,0.0009157715760534247
1200,47,0.0008557075911364723
1200,48,0.0012429735273766134
1200,49,0.0012110793825087112
1250,0,0.0015311949296356298
1250,1,0.0021630892395153047
1250,2,0.00045700557361813847
1250,3,0.0006907032251533071
1250,4,0.001066509668514906
1250,5,0.0020570451126420675
1250,6,0.0012913376312408227
1250,7,0.0007373546114413728
1250,8,0.0006783400193271156
1250,9,0.0024222823979994576
1250,10,0.0011367670884658294
1250,11,0.0009002782111265993
1250,12,0.0017072982174068715
1250,13,0.0014439664826788397
1250,14,0.0007316205092912371
1250,15,0.000588944363464379
1250,16,0.0005868935685224974
1250,17,0.0018895638060962793
1250,18,0.0009594381937910926
1250,19,0.0009143178326054962
1250,20,0.0014242736053748436
1250,21,0.001712668237493853
1250,22,0.0008763584721547394
1250,23,0.0007900604835442597
1250,24,0.0005040450732882503
1250,25,0.0017709051932116543
1250,26,0.00074179906609594
1250,27,0.0006617995677867993
1250,28,0.0008252524184392539
1250,29,0.0038651554742072354
1250,30,0.0010079988865322321
1250,31,0.0020543557249453905
1250,32,0.00032413676219240613
1250,33,0.0013870607993517964
1250,34,0.0011831873427706767
1250,35,0.0021469485772940018
1250,36,0.0008553942118872409
1250,37,0.0018544128957854109
1250,38,0.0015098737667001386
1250,39,0.003346898110917764
1250,40,0.00043536901713404176
1250,41,0.0012229888051394817
1250,42,0.0012605755615972308
1250,43,0.00044986113150295113
1250,44,0.001080207897536866
1250,45,0.0007336312128449191
1250,46,0.0006589831033969153
1250,47,0.0009297905914433587
1250,48,0.0018906075670977282
1250,49,0.0021702204456894884
1300,0,0.001072761070260335
1300,1,0.00040524506437125473
1300,2,0.0005766114715957747
1300,3,0.00037073957031257855
1300,4,0.002149131877369733
1300,5,0.0009281299452714691
1300,6,0.0012714665478425634
1300,7,0.0013288490129984946
1300,8,0.0009319325801880129
1300,9,0.002255378244095195
1300,10,0.001210314275084793
1300,11,0.0012685281857387476
1300,12,0.0014137927782554636
1300,13,0.000590882516643497
1300,14,0.00033217430209267246
1300,15,0.00044537485395604656
1300,16,0.0007283740487606694
1300,17,0.0012477721758098607
1300,18,0.0017385575257248622
1300,19,0.0011934175913841352
1300,20,0.000632466097505888
1300,21,0.001594493463441303
1300,22,0.0020750109985486643
1300,23,0.0006486615654158627
1300,24,0.0005309481616691031
1300,25,0.00029568313342741927
1300,26,0.0016609987916292406
1300,27,0.0007310697962171595
1300,28,0.0018910639899927654
1300,29,0.0006198549723838637
1300,30,0.00047384319237442037
1300,31,0.0008373058169292157
1300,32,0.0017298542898875225
1300,33,0.0009997340306996882
1300,34,0.0004826866318651591
1300,35,0.0011978086107504013
1300,36,0.0008213990600440222
1300,37,0.0018933879718689914
1300,38,0.0013504737772370588
1300,39,0.0008898995293557002
1300,40,0.001158769359366522
1300,41,0.00117142770110497
